#Rank	Path	LengthInKmers	Flows
0	164000000	6888	3
1	152000001	5904	3
0	165000000	5200	3
1	154000001	5182	3
0	166000000	6894	3
1	155000001	8016	3
0	167000000	6635	3
1	156000001	6025	3
0	168000000	6197	3
1	157000001	4608	3
0	169000000	6092	3
1	158000001	4604	3
0	170000000	5619	3
1	159000001	5993	3
0	171000000	5465	3
1	160000001	5142	3
0	172000000	5371	3
1	161000001	4515	3
0	173000000	4478	3
0	174000000	5112	3
1	162000001	6908	3
0	175000000	4453	3
1	163000001	5395	3
0	177000000	4436	3
1	164000001	4911	3
0	178000000	4436	3
1	166000001	4428	3
0	180000000	4599	3
1	167000001	8592	3
0	181000000	6423	3
1	168000001	4701	3
0	182000000	5393	3
1	171000001	5080	3
0	183000000	5702	3
0	184000000	4670	3
1	172000001	7354	3
0	185000000	4991	3
1	173000001	5592	3
0	186000000	4431	3
1	174000001	4981	3
0	188000000	4159	3
1	175000001	5303	3
0	189000000	6814	3
1	176000001	5927	3
0	190000000	6607	3
1	177000001	4356	3
0	191000000	4462	3
0	192000000	4170	3
1	178000001	10113	3
0	193000000	5230	3
1	179000001	4545	3
0	195000000	6005	3
1	180000001	7512	3
0	196000000	5294	3
1	182000001	4390	3
0	197000000	4555	3
1	183000001	4256	3
0	198000000	4017	3
1	184000001	4929	3
0	199000000	4169	3
1	185000001	5106	3
0	200000000	5980	3
1	186000001	4936	3
0	201000000	4190	3
1	187000001	4111	3
0	202000000	5149	3
0	203000000	4768	3
1	188000001	9126	3
0	204000000	5727	3
1	189000001	5337	3
0	205000000	5666	3
1	190000001	4038	3
0	206000000	5906	3
0	207000000	3952	3
1	191000001	8731	3
0	208000000	4232	3
1	192000001	5711	3
0	210000000	4438	3
1	193000001	5255	3
0	211000000	3934	3
1	195000001	4642	3
0	212000000	4472	3
1	196000001	4740	3
0	213000000	6290	3
1	197000001	4494	3
0	215000000	3897	3
1	198000001	5311	3
0	216000000	4015	3
1	199000001	3864	3
1	200000001	3863	3
0	217000000	8045	3
1	201000001	4196	3
0	218000000	10291	3
1	202000001	7048	3
0	221000000	4238	3
1	203000001	4675	3
0	222000000	5470	3
1	204000001	5048	3
0	223000000	5307	3
1	205000001	4260	3
1	206000001	4639	3
0	224000000	8560	3
1	207000001	3854	3
0	225000000	3998	3
1	209000001	4801	3
0	226000000	6195	3
1	210000001	5029	3
1	211000001	3787	3
0	227000000	6133	3
0	228000000	6407	3
1	213000001	9230	3
0	229000000	4553	3
1	214000001	4024	3
0	231000000	3987	3
1	215000001	5001	3
0	232000000	3807	3
1	219000001	6725	3
0	233000000	3602	3
0	235000000	4105	3
1	220000001	8574	3
0	236000000	4660	3
1	221000001	4398	3
0	237000000	5872	3
1	222000001	4097	3
0	238000000	5189	3
1	223000001	3658	3
0	239000000	3534	3
1	224000001	4648	3
0	240000000	4673	3
1	226000001	5131	3
0	241000000	5824	3
1	227000001	4027	3
0	242000000	4786	3
1	228000001	4587	3
1	229000001	5902	3
0	244000000	3806	3
1	230000001	4150	3
0	245000000	5388	3
1	231000001	3575	3
0	246000000	6059	3
1	232000001	3492	3
0	247000000	4679	3
1	233000001	5169	3
0	251000000	4026	3
1	234000001	5204	3
1	235000001	4154	3
0	253000000	5515	3
1	236000001	3452	3
0	254000000	3434	3
1	237000001	3431	3
0	255000000	4949	3
1	238000001	4190	3
0	256000000	5942	3
1	239000001	3413	3
1	240000001	3702	3
0	257000000	4569	3
1	242000001	3397	3
0	259000000	4360	3
1	244000001	5353	3
0	260000000	6633	3
1	245000001	3715	3
0	261000000	3949	3
1	246000001	3355	3
0	262000000	4105	3
1	247000001	4507	3
0	263000000	5114	3
1	248000001	6176	3
1	249000001	3301	3
0	264000000	8331	3
1	250000001	3286	3
0	265000000	3356	3
0	266000000	5345	3
1	251000001	7967	3
0	267000000	3207	3
1	253000001	4783	3
0	269000000	3183	3
1	254000001	3222	3
0	270000000	6194	3
1	255000001	4055	3
0	272000000	4127	3
1	256000001	3190	3
0	273000000	3995	3
1	257000001	3859	3
1	258000001	3175	3
0	274000000	3153	3
1	259000001	5072	3
0	275000000	4420	3
1	260000001	3154	3
0	277000000	3595	3
0	279000000	3345	3
1	261000001	5210	3
0	280000000	3435	3
1	263000001	4274	3
0	281000000	3315	3
1	266000001	3851	3
0	283000000	3648	3
1	267000001	3671	3
0	284000000	3805	3
0	286000000	3008	3
1	268000001	7505	3
1	269000001	3948	3
0	288000000	5299	3
0	290000000	2973	3
1	270000001	4180	3
1	272000001	4271	3
0	291000000	4471	3
1	273000001	3291	3
0	292000000	5738	3
1	274000001	4170	3
0	293000000	2956	3
1	275000001	4436	3
0	294000000	4995	3
1	276000001	4704	3
0	296000000	3731	3
1	277000001	4552	3
0	297000000	4500	3
1	278000001	3081	3
0	299000000	2837	3
1	279000001	2956	3
0	300000000	3914	3
1	280000001	3758	3
0	301000000	3319	3
1	281000001	5085	3
0	302000000	3554	3
0	303000000	2811	3
1	283000001	4832	3
1	284000001	3890	3
0	304000000	8997	3
1	286000001	4911	3
0	305000000	3541	3
0	306000000	2837	3
1	287000001	7689	3
0	309000000	3488	3
1	288000001	2802	3
0	310000000	2760	3
1	289000001	4115	3
0	311000000	3050	3
0	313000000	3410	3
1	290000001	4069	3
0	314000000	3099	3
1	291000001	3970	3
0	315000000	2698	3
1	292000001	3509	3
0	316000000	4459	3
1	293000001	3674	3
0	317000000	5575	3
1	294000001	3248	3
1	297000001	4230	3
0	318000000	7467	3
1	299000001	2865	3
0	319000000	4326	3
1	302000001	5979	3
0	321000000	2667	3
0	322000000	2681	3
1	304000001	5922	3
0	323000000	2864	3
1	305000001	3362	3
0	324000000	3473	3
1	306000001	2661	3
1	307000001	2658	3
0	326000000	4805	3
1	309000001	4299	3
0	327000000	3692	3
1	310000001	2645	3
0	330000000	5289	3
1	311000001	7206	3
0	333000000	3162	3
1	312000001	3111	3
0	334000000	3714	3
1	313000001	4318	3
0	335000000	3998	3
1	314000001	3352	3
0	336000000	3843	3
1	315000001	3506	3
0	337000000	6434	3
1	316000001	2876	3
0	338000000	4360	3
1	318000001	5543	3
0	339000000	3314	3
1	319000001	2539	3
0	340000000	4522	3
1	320000001	5455	3
1	321000001	2630	3
0	344000000	6357	3
1	322000001	2783	3
0	345000000	2534	3
1	324000001	2971	3
0	347000000	3253	3
1	325000001	4569	3
0	349000000	2949	3
1	326000001	3928	3
0	350000000	5703	3
1	327000001	2587	3
0	351000000	5200	3
1	328000001	5163	3
0	352000000	3188	3
1	329000001	2459	3
1	331000001	2542	3
0	354000000	5429	3
1	332000001	3629	3
0	355000000	4637	3
0	356000000	3180	3
1	333000001	6629	3
0	358000000	3084	3
1	334000001	4508	3
0	359000000	2941	3
1	335000001	4070	3
0	360000000	2822	3
1	336000001	2532	3
0	361000000	4307	3
1	338000001	2952	3
0	362000000	3467	3
1	339000001	4405	3
0	363000000	3810	3
1	340000001	2398	3
0	364000000	3708	3
1	342000001	3054	3
1	344000001	2635	3
0	366000000	2671	3
1	346000001	2588	3
0	367000000	3141	3
0	368000000	3288	3
1	347000001	6479	3
0	369000000	4037	3
1	348000001	3599	3
0	371000000	2240	3
1	349000001	3371	3
0	373000000	4004	3
1	350000001	3393	3
0	375000000	2419	3
1	351000001	7377	3
0	377000000	5154	3
0	378000000	2332	3
1	352000001	4050	3
0	379000000	3210	3
1	353000001	2779	3
0	380000000	2884	3
0	381000000	3270	3
1	356000001	7081	3
1	359000001	2698	3
0	382000000	4223	3
1	360000001	3014	3
0	385000000	3174	3
0	386000000	3300	3
1	361000001	4458	3
0	387000000	2522	3
1	363000001	2529	3
0	388000000	2183	3
1	367000001	2589	3
0	389000000	2519	3
0	390000000	2700	3
1	368000001	3680	3
1	371000001	2413	3
0	392000000	3045	3
1	372000001	2502	3
0	393000000	3236	3
1	374000001	2779	3
0	395000000	2462	3
0	397000000	3250	3
1	376000001	2922	3
0	398000000	2763	3
1	377000001	3091	3
0	401000000	2226	3
1	378000001	2954	3
0	402000000	2449	3
0	403000000	2380	3
1	380000001	4201	3
0	404000000	2097	3
1	383000001	3348	3
0	405000000	4310	3
0	406000000	4653	3
1	387000001	6639	3
1	388000001	2676	3
0	407000000	3767	3
1	389000001	3594	3
0	408000000	3945	3
1	391000001	2679	3
0	409000000	3617	3
1	392000001	2117	3
1	394000001	2032	3
0	410000000	4914	3
1	395000001	2684	3
0	414000000	3150	3
1	396000001	3894	3
0	416000000	2940	3
1	397000001	4113	3
0	417000000	5748	3
1	398000001	4853	3
0	418000000	3143	3
1	399000001	3107	3
0	419000000	2376	3
1	402000001	3429	3
0	420000000	3222	3
1	403000001	3844	3
0	421000000	3614	3
1	404000001	3753	3
1	405000001	2466	3
0	422000000	3875	3
1	406000001	2723	3
0	423000000	2456	3
1	407000001	2219	3
0	426000000	2965	3
1	410000001	2547	3
0	428000000	2122	3
1	412000001	1919	3
0	429000000	1800	3
1	413000001	3286	3
0	430000000	3410	3
0	431000000	1839	3
1	416000001	2574	3
1	417000001	2374	3
0	432000000	2995	3
1	418000001	2707	3
0	433000000	2656	3
1	420000001	3118	3
0	437000000	4420	3
0	438000000	3298	3
1	421000001	4078	3
0	439000000	2553	3
1	422000001	3013	3
0	440000000	1765	3
1	424000001	1865	3
1	426000001	4154	3
1	427000001	1874	3
0	442000000	10368	3
0	443000000	2980	3
1	428000001	3512	3
1	429000001	1795	3
1	431000001	2154	3
0	444000000	4840	3
1	432000001	1783	3
0	445000000	1960	3
1	434000001	2690	3
0	446000000	1685	3
1	435000001	2345	3
1	436000001	1896	3
0	450000000	6027	3
0	452000000	1962	3
1	437000001	4634	3
0	453000000	2179	3
1	438000001	2338	3
1	439000001	2029	3
0	456000000	3806	3
0	457000000	2694	3
0	458000000	5314	3
1	442000001	8161	3
0	459000000	2731	3
1	443000001	3990	3
0	461000000	1607	3
1	444000001	1720	3
0	462000000	2002	3
1	445000001	2821	3
1	446000001	1909	3
0	465000000	3002	3
1	447000001	4995	3
0	466000000	4148	3
1	448000001	3160	3
0	467000000	4936	3
1	449000001	2430	3
1	450000001	1672	3
0	468000000	2745	3
1	451000001	1754	3
0	469000000	1669	3
1	452000001	2265	3
0	470000000	2044	3
1	453000001	2781	3
0	473000000	3953	3
1	454000001	5554	3
0	474000000	4562	3
1	455000001	2152	3
0	475000000	1528	3
1	459000001	2293	3
0	476000000	2561	3
0	477000000	3099	3
1	460000001	3979	3
0	478000000	1507	3
1	463000001	2946	3
0	480000000	2225	3
0	481000000	1873	3
1	465000001	4919	3
1	469000001	2315	3
0	483000000	3036	3
1	472000001	1551	3
1	473000001	2110	3
0	484000000	3803	3
0	487000000	2479	3
1	474000001	6931	3
0	488000000	4060	3
1	475000001	2676	3
0	489000000	3093	3
0	497000000	1662	3
1	476000001	3875	3
0	498000000	1405	3
1	477000001	2467	3
0	506000000	1379	3
0	507000000	1372	3
1	478000001	1491	3
1	479000001	1765	3
0	508000000	2108	3
1	480000001	1846	3
0	509000000	1356	3
0	510000000	1346	3
1	481000001	2318	3
0	513000000	1392	3
1	484000001	2411	3
0	515000000	2780	3
1	486000001	1892	3
0	516000000	1534	3
1	488000001	2301	3
0	517000000	2254	3
1	489000001	3987	3
0	518000000	5428	3
1	492000001	3303	3
1	493000001	2357	3
1	494000001	1487	3
1	496000001	1713	3
1	497000001	1748	3
0	523000000	9284	3
0	525000000	2398	3
1	498000001	2570	3
1	499000001	1860	3
1	500000001	1583	3
1	501000001	1497	3
0	526000000	1619	3
1	502000001	3340	3
1	504000001	1354	3
0	527000000	2184	3
1	505000001	1432	3
0	529000000	2990	3
0	530000000	1526	3
1	506000001	2659	3
1	507000001	2436	3
1	509000001	2073	3
0	531000000	5497	3
0	533000000	2673	3
0	535000000	1217	3
1	510000001	5421	3
0	537000000	1278	3
0	538000000	1362	3
0	540000000	1204	3
1	516000001	4762	3
0	542000000	2175	3
